ja	en	vi
システムに接続できません。	I cannot connect to the system.	Tôi không thể kết nối với hệ thống.
パスワードを忘れました。	I forgot my password.	Tôi đã quên mật khẩu.
アカウントがロックされています。	My account is locked.	Tài khoản của tôi bị khóa.
データが表示されません。	The data is not displaying.	Dữ liệu không hiển thị.
アプリケーションがクラッシュします。	The application crashes.	Ứng dụng bị treo.
エラーコード500が表示されます。	Error code 500 is displayed.	Mã lỗi 500 được hiển thị.
ページが読み込まれません。	The page does not load.	Trang không tải được.
ファイルをアップロードできません。	I cannot upload the file.	Tôi không thể tải tệp lên.
メールが届いていません。	The email has not arrived.	Email chưa đến.
通知が来ません。	Notifications are not coming.	Thông báo không đến.
画面が固まっています。	The screen is frozen.	Màn hình bị đóng băng.
処理が遅いです。	The processing is slow.	Xử lý chậm.
権限がありません。	I do not have permission.	Tôi không có quyền truy cập.
データが消えました。	The data has disappeared.	Dữ liệu đã biến mất.
同期ができていません。	Synchronization is not working.	Đồng bộ hóa không hoạt động.
バックアップから復元できますか？	Can I restore from backup?	Tôi có thể khôi phục từ bản sao lưu không?
設定を初期化したいです。	I want to reset the settings.	Tôi muốn đặt lại cài đặt.
ログを確認してください。	Please check the logs.	Vui lòng kiểm tra nhật ký.
再起動してみてください。	Please try restarting.	Vui lòng thử khởi động lại.
キャッシュをクリアしてください。	Please clear the cache.	Vui lòng xóa bộ nhớ đệm.
最新バージョンにアップデートしてください。	Please update to the latest version.	Vui lòng cập nhật lên phiên bản mới nhất.
ブラウザを変えて試してみてください。	Please try a different browser.	Vui lòng thử trình duyệt khác.
ネットワーク接続を確認してください。	Please check your network connection.	Vui lòng kiểm tra kết nối mạng của bạn.
スクリーンショットを送ってください。	Please send a screenshot.	Vui lòng gửi ảnh chụp màn hình.
エラーの詳細を教えてください。	Please tell me the error details.	Vui lòng cho tôi biết chi tiết lỗi.
問題は解決しましたか？	Has the problem been resolved?	Vấn đề đã được giải quyết chưa?
チケットを作成します。	I will create a ticket.	Tôi sẽ tạo phiếu hỗ trợ.
優先度を高く設定します。	I will set the priority to high.	Tôi sẽ đặt mức độ ưu tiên cao.
エンジニアに確認します。	I will check with the engineer.	Tôi sẽ kiểm tra với kỹ sư.
ご不便をおかけして申し訳ございません。	We apologize for the inconvenience.	Chúng tôi xin lỗi vì sự bất tiện.
