ja	en	vi
お世話になっております。	Thank you for your continued support.	Cảm ơn sự hỗ trợ liên tục của bạn.
ご返信ありがとうございます。	Thank you for your reply.	Cảm ơn phản hồi của bạn.
お問い合わせいただきありがとうございます。	Thank you for your inquiry.	Cảm ơn bạn đã liên hệ.
ご不便をおかけして申し訳ございません。	We apologize for the inconvenience.	Chúng tôi xin lỗi vì sự bất tiện này.
ご確認のほどよろしくお願いいたします。	We kindly request your confirmation.	Chúng tôi kính mong nhận được xác nhận của bạn.
ご検討のほどよろしくお願いいたします。	We kindly request your consideration.	Chúng tôi kính mong bạn xem xét.
ご回答をお待ちしております。	We look forward to your response.	Chúng tôi mong nhận được phản hồi của bạn.
何卒よろしくお願いいたします。	We appreciate your cooperation.	Chúng tôi trân trọng sự hợp tác của bạn.
ご了承ください。	Please be informed.	Vui lòng lưu ý.
ご連絡ください。	Please contact us.	Vui lòng liên hệ với chúng tôi.
提案書を送付いたします。	I will send you the proposal.	Tôi sẽ gửi cho bạn đề xuất.
見積もりを作成しました。	I have prepared an estimate.	Tôi đã chuẩn bị bảng ước tính.
契約書を確認していただけますか？	Could you review the contract?	Bạn có thể xem xét hợp đồng không?
納品期限について相談したいです。	I would like to discuss the delivery deadline.	Tôi muốn thảo luận về hạn giao hàng.
追加費用が発生する可能性があります。	Additional costs may occur.	Có thể phát sinh chi phí bổ sung.
予算内で対応できます。	We can handle it within the budget.	Chúng tôi có thể xử lý trong phạm vi ngân sách.
品質に問題がありました。	There was a quality issue.	Đã có vấn đề về chất lượng.
修正版を送ります。	I will send the revised version.	Tôi sẽ gửi phiên bản đã sửa.
ご要望に応じます。	We will accommodate your request.	Chúng tôi sẽ đáp ứng yêu cầu của bạn.
パートナーシップを提案します。	I propose a partnership.	Tôi đề xuất quan hệ đối tác.
今後ともよろしくお願いいたします。	We look forward to our continued relationship.	Chúng tôi mong tiếp tục mối quan hệ của chúng ta.
